,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
20,127,41450763,17 Jan 2023, Thought you said you weren't a superhero? by UnderTheAmberTree ,English,"3,812",2/2,353,| Not Rated| Major Character Death| F/M| Complete Work|,"|Major Character DeathEddie Munson/Reader Eddie Munson/YouEddie Munson Reader Eleven | Jane Hopper Maxine ""Max"" Mayfield Lucas Sinclair Dustin HendersonEl saves Eddie like she did Max That's it Eddie Munson Lives Eddie Munson Needs a Hug Short One Shot One Shot|"
21,127,43918350,17 Jan 2023, Eddie the what? by Rhapsody_in_pink ,English,"24,390",4/5,2340,| Teen And Up Audiences| Choose Not To Use Archive Warnings| M/M| Work in Progress|,"|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie Munson Steve Harrington & The PartySteve Harrington Eddie Munson The Party (Stranger Things) Eleven | Jane Hopper Wayne Munson Jim ""Chief"" Hopper Joyce Byers Nancy Wheeler Jonathan ByersHurt/Comfort Emotional Hurt/Comfort Hurt Steve Harrington Steve Harrington Needs a Hug Steve Harrington Has Bad Parents Stranger Things 2 Not Canon Compliant Steve Harrington Has Head Trauma eddie is doing his best i have no Beta Forgive Me i don’t know who canon is Slow Burn steve harrington has hearing loss Eddie Munson is a Sweetheart concussion confessions|"
22,127,43126035,17 Jan 2023, secrets by princesstwink ,English,"1,561",1/?,1135,| Mature| No Archive Warnings Apply| M/M| Work in Progress|,|No Archive Warnings ApplySteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Robin Buckley Nancy Wheeler Dustin Henderson The Party (Stranger Things)Steve Harrington Has Powers my favorite tag not upside down or lab related powers either Gay Eddie Munson Bisexual Steve Harrington Pet Names Hurt Eddie Munson briefly Hurt Steve Harrington not as briefly Empath but not really Mutual Pining Smart Steve Harrington Not Beta Read looking for a co-writer pls|
23,127,44345875,17 Jan 2023, knowing yourself by Anonymous    ,English,"15,062",10/?,1365,| Explicit| No Archive Warnings Apply| No category| Work in Progress|,|No Archive Warnings ApplyRobin Buckley & Steve Harrington Robin Buckley/Steve HarringtonSteve Harrington Robin BuckleyPost-Season/Series 03 Sexual Experimentation Masturbation Porn Watching Questioning Codependent Robin Buckley & Steve Harrington POV Robin Buckley Robin Buckley-centric|
24,127,44066325,17 Jan 2023, What doesn’t kill you makes you a monster by Zeros83 ,English,"6,165",1/1,133,| Mature| Graphic Depictions Of Violence| No category| Complete Work|,|Graphic Depictions Of ViolenceRobin Buckley & Steve HarringtonSteve Harrington Robin BuckleyBody Horror body mutation Blood demobat!Steve Harrington Emotional Hurt/Little Comfort bff Robin and Steve Steve is in a very bad headspace Suicidal Thoughts somewhat canon compliant (but who really cares about canon anyway?) Post-Vecna (Stranger Things) demobat!Steve AU No beta we die like bob|
25,127,44348314,17 Jan 2023, Cold Hearts: What if Steve and Robin were taken to Kamchatka instead of Hopper? by canningroxy22 ,English,"11,553",3/?,423,"| Mature| Choose Not To Use Archive Warnings, Graphic Depictions Of Violence| Other| Work in Progress|",|Creator Chose Not To Use Archive Warnings Graphic Depictions Of ViolenceRobin Buckley & Steve Harrington Suzie Bingham/Dustin Henderson Dustin Henderson & Erica SinclairSteve Harrington Robin Buckley Dustin Henderson Erica Sinclair Suzie Bingham Dmitri Antonov Yuri Ismaylov Demogorgon (Stranger Things) Demo-Dogs (Stranger Things)Post-Stranger Things 3 Not Canon Compliant - Stranger Things 4 Vol. 2 Torture Wrongful Imprisonment Rescue Missions Temporarily Unrequited Love Platonic Soulmates Alternate Universe - Canon Divergence Russia Coming Out Self-Acceptance Blood and Injury Blood and Gore Action/Adventure Steve Harrington Needs a Hug Robin Buckley Needs a Hug Hurt No Comfort Angst and Hurt/Comfort|
26,127,43263264,17 Jan 2023, Cold Touches | Byler by explicitbyler ,English,"1,642",1/?,1285,"| Explicit| Rape/Non-Con, Underage| M/M| Work in Progress|",|Rape/Non-Con UnderageWill Byers/Mike WheelerWill Byers Mike WheelerTop Mike Wheeler Bottom Will Byers Rape/Non-con Elements Molestation Breaking and Entering Non-Consensual Kissing set in season 4 Mentions of drugs No Vecna (Stranger Things) Just Mike being a creep Dead Dove: Do Not Eat|
27,127,41235747,17 Jan 2023," For You, I Will. by Mischiefediting ",English,"103,555",12/12,11560,| Explicit| Choose Not To Use Archive Warnings| M/M| Complete Work|,|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie MunsonEddie Munson Steve HarringtonNot Canon Compliant Stranger Things 3 Steve Harrington Works at Scoops Ahoy Scoops Ahoy (Stranger Things) Soft Eddie Munson Soft Steve Harrington Smut Fluff Eddie Munson Has a Crush on Steve Harrington Steve Harrington Has a Crush on Eddie Munson Endgame Steve Harrington/Eddie Munson Supportive Wayne Munson Steve Harrington/Eddie Munson in Love Mutual Pining Gareth & Eddie Munson Are Best Friends Robin Buckley & Steve Harrington Friendship Eating Disorders Dom/sub Rough Oral Sex Steve Harrington's First Time With a Man eddie munson first time Angst and Fluff and Smut Rough Sex steve harrington is a princess|
28,127,43243816,17 Jan 2023, Basement Ghost Singing by bettiebloodshed ,English,"19,096",3/5,220,| Mature| Choose Not To Use Archive Warnings| M/M| Work in Progress|,"|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie Munson Robin Buckley & Steve HarringtonSteve Harrington Eddie Munson Wayne Munson Robin Buckley Nancy Wheeler Joyce Byers Jim ""Chief"" Hopper Sam Owens (Stranger Things) Eleven | Jane HopperDeveloping Relationship Steve Harrington is not having a good time Steve Harrington Needs a Hug Eddie Munson Needs a Hug Post-Canon Robin Buckley & Steve Harrington Are Best Friends Eddie Munson in the Upside Down Temporarily dead Eddie Munson Wayne munson is a good parent Other Additional Tags to Be Added steve harrington has a guilt complex bats in the upside down seem to have magical properties Hurt/Comfort Gay Eddie Munson Bisexual Steve Harrington References to the Frighteners bsasically im pulling an entire plot point from The Frighteners but its a good one ok|"
29,127,43239222,17 Jan 2023, Come join our Circus by Galaxy_Pizazz ,English,"6,229",4/12,567,"| Not Rated| Choose Not To Use Archive Warnings| M/M, Multi| Work in Progress|","|Creator Chose Not To Use Archive WarningsWill Byers/Mike Wheeler Minor or Background Relationship(s) Eddie Kaspbrak/Richie Tozier Bill Denbrough/Stanley Uris Eleven | Jane Hopper/Mike Wheeler Will Byers & The Losers Club (IT)Will Byers Mike Wheeler Richie Tozier Eddie Kaspbrak Eleven | Jane Hopper Stanley Uris Bill Denbrough Beverly Marsh Ben Hanscom Mike Hanlon Pennywise (IT) Maxine ""Max"" Mayfield Lucas Sinclair Jim ""Chief"" Hopper Joyce ByersSiblings Will Byers & Eleven | Jane Hopper Other Additional Tags to Be Added The Losers Club are clowns Circus The Loser Club are Villains (IT) The Losers Club flirts with Will but its all in good fun Jealous Mike Wheeler Mike Wheeler Being an Asshole|"
